Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP
2025-02-18 16:57:54.324068 +0000 UTC,192.168.0.2,51590,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,112000,312833,704000,205876,329000,444750,611000,136133,1877000,1877000,1877000,1877000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,998423000,0
2025-02-18 16:57:54.324081 +0000 UTC,192.168.0.2,51588,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,98000,320333,796000,265947,255000,459000,687000,203023,1922000,1922000,1922000,1922000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,13000,0
2025-02-18 16:57:54.326548 +0000 UTC,192.168.0.2,51608,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,41000,159333,431000,139913,157000,229000,385000,106483,956000,956000,956000,956000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,2467000,0
2025-02-18 16:57:54.375543 +0000 UTC,192.168.0.3,33130,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,40000,236666,614000,220634,116000,341500,548000,235140,1420000,1420000,1420000,1420000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,623000,0
2025-02-18 16:57:54.37492 +0000 UTC,192.168.0.3,33122,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,81000,347166,663000,257466,234000,501500,631000,180622,2083000,2083000,2083000,2083000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,997439000,0
2025-02-18 16:57:54.376535 +0000 UTC,192.168.0.3,33134,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,39000,257500,542000,170721,198000,374250,487000,133829,1545000,1545000,1545000,1545000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,992000,0
2025-02-18 16:57:54.377567 +0000 UTC,192.168.0.3,33144,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,34000,168833,486000,166559,148000,244750,457000,145852,1013000,1013000,1013000,1013000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,1032000,0
2025-02-18 16:57:54.378563 +0000 UTC,192.168.0.3,33158,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,19000,101666,251000,83166,92000,146000,215000,50996,610000,610000,610000,610000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,996000,0
2025-02-18 16:57:54.379494 +0000 UTC,192.168.0.3,33174,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,17000,95166,219000,72912,86000,137000,187000,41255,571000,571000,571000,571000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,931000,0
2025-02-18 16:57:55.321531 +0000 UTC,192.168.0.2,60996,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,57000,262500,687000,229076,168000,372500,578000,167414,1575000,1575000,1575000,1575000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,994983000,0
2025-02-18 16:57:55.32375 +0000 UTC,192.168.0.2,32770,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,47000,187666,396000,126795,175000,267000,346000,75960,1126000,1126000,1126000,1126000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,2219000,0
2025-02-18 16:57:55.323763 +0000 UTC,192.168.0.2,32772,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,52000,410333,1212000,418561,235000,603250,1161000,448520,2462000,2462000,2462000,2462000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,13000,0
2025-02-18 16:57:55.32551 +0000 UTC,192.168.0.2,32794,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,41000,231166,607000,230118,115000,337250,575000,204809,1387000,1387000,1387000,1387000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,1747000,0
2025-02-18 16:57:55.325801 +0000 UTC,192.168.0.2,32810,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,59000,183333,562000,193246,90000,260500,535000,192465,1100000,1100000,1100000,1100000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,221000,0
2025-02-18 16:57:55.32558 +0000 UTC,192.168.0.2,32808,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,38000,312000,1460000,563355,107000,460000,1428000,645711,1872000,1872000,1872000,1872000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,70000,0
2025-02-18 16:57:55.374868 +0000 UTC,192.168.0.3,33184,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,97000,390166,1094000,365657,327000,565750,1000000,297395,2341000,2341000,2341000,2341000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,1000,0
2025-02-18 16:57:55.374867 +0000 UTC,192.168.0.3,33182,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,98000,394500,1144000,388679,283000,572500,1039000,325237,2367000,2367000,2367000,2367000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,995373000,0
2025-02-18 16:57:55.375784 +0000 UTC,192.168.0.3,33198,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,54000,337666,929000,355552,199000,495500,876000,315823,2026000,2026000,2026000,2026000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,916000,0
